PART_NAME,OEM_NAME,OEM_NUMBER,NEW_OEM_NUMBER,PART_NUMBER,NEW_PART_NUMBER
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C96-CL1-A35,C96-CL1-A35,C96-CL1-A35 (MEETS TECTYL 435),C96-CL1-A35-MEETS-TECTYL-435
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C96-CL1-A7,C96-CL1-A7,C96-CL1-A7 (MEETS TECTYL 435),C96-CL1-A7-MEETS-TECTYL-435
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C96-CL1-A01,C96-CL1-A01,C96-CL1-A01 (MEETS TECTYL 435),C96-CL1-A01-MEETS-TECTYL-435
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C96-CL1-A5,C96-CL1-A5,C96-CL1-A5 (MEETS TECTYL 435),C96-CL1-A5-MEETS-TECTYL-435
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C96-CL1-55GL,C96-CL1-55GL,C96-CL1-55GL (MEETS TECTYL 435),C96-CL1-55GL-MEETS-TECTYL-435
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C96-CL3-A01,C96-CL3-A01,C96-CL3-A01 (MEETS TECTYL 437),C96-CL3-A01-MEETS-TECTYL-437
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C96-CL3-A7,C96-CL3-A7,C96-CL3-A7 MEETS TECTYL 437),C96-CL3-A7-MEETS-TECTYL-437
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C96-CL3-A35,C96-CL3-A35,C96-CL3-A35 (MEETS TECTYL 437),C96-CL3-A35-MEETS-TECTYL-437
ISOPROPYL ALCOHOL TECHNICAL,ACI-LUBES CO,99PCT-ISO-ALCO-GAL-CAN,99PCT-ISO-ALCO-GAL-CAN,99% ISOPROPYL ALCOHOL - GALLON CAN SIZE,99--ISOPROPYL-ALCOHOL---GALLON-CAN-SIZE
ISOPROPYL ALCOHOL,ACI-LUBES CO,99PCT-ISO-ALCO-24OZ-BOT,99PCT-ISO-ALCO-24OZ-BOT,99% ISOPROPYL ALCOHOL - 24OZ SPRAY BOTTL,99--ISOPROPYL-ALCOHOL---24OZ-SPRAY-BOTTL
ISOPROPYL ALCOHOL,ACI-LUBES CO,99PCT-ISO-ALCO-5GAL-PAIL,99PCT-ISO-ALCO-5GAL-PAIL,99% ISOPROPYL ALCOHOL - 5 GALLON PAIL,99--ISOPROPYL-ALCOHOL---5-GALLON-PAIL
ISOPROPYL ALCOHOL TECHNICAL,ACI-LUBES CO,99PCT-ISO-ALCO-55GAL-DRUM,99PCT-ISO-ALCO-55GAL-DRUM,99% ISOPROPYL ALCOHOL - 55 GALLON DRUM,99--ISOPROPYL-ALCOHOL---55-GALLON-DRUM
MINERAL SPIRITS,ACI-LUBES CO,P-D-680 TY 1-PT,P-D-680 TY 1-PT,P-D-680 TY 1 - PT (MINERAL SPIRITS 66),P-D-680-TY-1---PT-MINERAL-SPIRITS-66
PARAFFINIC NAPHTHENIC SOLVENT,ACI-LUBES CO,P-D-680 TY2-QUART,P-D-680 TY2-QUART,P-D-680 TY2 - QUART (142 SOLVENT),P-D-680-TY2---QUART-142-SOLVENT
MINERAL SPIRITS 66,ACI-LUBES CO,P-D-680 TYI-55GL,P-D-680 TYI-55GL,P-D-680 TYI - 55GL (MINERAL SPIRITS 66),P-D-680-TYI---55GL-MINERAL-SPIRITS-66
SOLVENT CLEANING COMPOUND,ACI-LUBES CO,P-D-680 TYII-1GL,P-D-680 TYII-1GL,P-D-680 TYII - 1GL (142 SOLVENT),P-D-680-TYII---1GL-142-SOLVENT
PARAFFINIC NAPHTHENIC SOLVENT,ACI-LUBES CO,P-D-680 TYII-5GL,P-D-680 TYII-5GL,P-D-680 TYII - 5GL (142 SOLVENT),P-D-680-TYII---5GL-142-SOLVENT
PARAFFINIC NAPHTHENIC SOLVENT,ACI-LUBES CO,P-D-680 TYII-55GL,P-D-680 TYII-55GL,P-D-680 TYII - 55GL (142 SOLVENT),P-D-680-TYII---55GL-142-SOLVENT
MINERAL SPIRITS 66,ACI-LUBES CO,P-D-680 TY 1-A1G,P-D-680 TY 1-A1G,P-D-680 TY 1 - A1G (MINERAL SPIRITS 66),P-D-680-TY-1---A1G-MINERAL-SPIRITS-66
MINERAL SPIRITS 66,ACI-LUBES CO,P-D-680 TY 1-5GL,P-D-680 TY 1-5GL,P-D-680 TY 1-5GL. (MINERAL SPIRITS 66),P-D-680-TY-1-5GL--MINERAL-SPIRITS-66
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR2-PT-CN,C73-GR2-PT-CN,C73-GR2-PT.CN (TECTYL 502C),C73-GR2-PT-CN-TECTYL-502C
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR3-PT,C73-GR3-PT,C73-GR3-PT (TECTYL 894),C73-GR3-PT-TECTYL-894
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR1-55GL,C73-GR1-55GL,C73-GR1-55GL (TECTYL 891),C73-GR1-55GL-TECTYL-891
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR1-5GL,C73-GR1-5GL,C73-GR1-5GL (TECTYL 891),C73-GR1-5GL-TECTYL-891
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR3-5GL,C73-GR3-5GL,C73-GR3-5GL (TECTYL 894),C73-GR3-5GL-TECTYL-894
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR4-5GL,C73-GR4-5GL,C73-GR4-5GL (TECTYL 846),C73-GR4-5GL-TECTYL-846
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR4-PT.,C73-GR4-PT.,C73-GR4-PT. (TECTYL 846),C73-GR4-PT--TECTYL-846
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR1-GL,C73-GR1-GL,C73-GR1-GL (TECTYL 891),C73-GR1-GL-TECTYL-891
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR1-QT,C73-GR1-QT,C73-GR1-QT (TECTYL 891),C73-GR1-QT-TECTYL-891
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR2-5GL,C73-GR2-5GL,C73-GR2-5GL (TECTYL 502C),C73-GR2-5GL-TECTYL-502C
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR2-55GL,C73-GR2-55GL,C73-GR2-55GL (TECTYL 502C),C73-GR2-55GL-TECTYL-502C
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR2-GL,C73-GR2-GL,C73-GR2-GL (TECTYL 502C),C73-GR2-GL-TECTYL-502C
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR3-GL,C73-GR3-GL,C73-GR3-GL (TECTYL 894),C73-GR3-GL-TECTYL-894
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR3-QT,C73-GR3-QT,C73-GR3-QT (TECTYL 894),C73-GR3-QT-TECTYL-894
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR4-GL,C73-GR4-GL,C73-GR4-GL (TECTYL 846),C73-GR4-GL-TECTYL-846
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR4-PT,C73-GR4-PT,C73-GR4-PT (TECTYL 846),C73-GR4-PT-TECTYL-846
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR4-QT,C73-GR4-QT,C73-GR4-QT (TECTYL 846),C73-GR4-QT-TECTYL-846
CORROSION PREVENTIVE COMPOUND,ACI-LUBES CO,C73-GR2-PT,C73-GR2-PT,C73-GR2-PT (TECTYL 502C),C73-GR2-PT-TECTYL-502C
